Time,Fixed-Point-Operation,Edge,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2,Clause-3
0,0,"('input', 'protagonist_centered_focus')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_protagonist_centered_focus,,,
0,0,"('input', 'internal_goals')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_input_internal_goals,,,
0,0,"('input', 'decision_driven_plot')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_decision_driven_plot,,,
0,0,"('input', 'self_reliance')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_self_reliance,,,
0,0,"('input', 'individual_accolades')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_individual_accolades,,,
0,0,"('input', 'meritocracy_emphasis')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_meritocracy_emphasis,,,
0,0,"('input', 'man_vs_self_world_conflict')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_man_vs_self_world_conflict,,,
0,0,"('input', 'solo_confrontations')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_solo_confrontations,,,
0,0,"('input', 'inner_journey')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_inner_journey,,,
0,0,"('input', 'self_actualization_climax')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_input_self_actualization_climax,,,
0,0,"('input', 'personal_ethics_over_group_norms')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_personal_ethics_over_group_norms,,,
0,0,"('input', 'uniqueness_self_expression')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_uniqueness_self_expression,,,
0,0,"('input', 'self_construal')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_input_self_construal,,,
0,0,"('input', 'behavioral_guidance')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_behavioral_guidance,,,
0,0,"('input', 'relationship_orientation')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_input_relationship_orientation,,,
0,0,"('input', 'primary_conflict')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_primary_conflict,,,
0,0,"('input', 'resolution_style')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_input_resolution_style,,,
0,0,"('input', 'moral_emphasis')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_input_moral_emphasis,,,
