Time,Fixed-Point-Operation,Edge,Label,Old Bound,New Bound,Occurred Due To,Clause-1,Clause-2,Clause-3
0,0,"('the_people_who_dug_for_rain', 'protagonist_centered_focus')",individualistic_feature,"[0.0,1.0]","[0.75,0.75]",fact_the_people_who_dug_for_rain_protagonist_centered_focus,,,
0,0,"('the_people_who_dug_for_rain', 'internal_goals')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_internal_goals,,,
0,0,"('the_people_who_dug_for_rain', 'decision_driven_plot')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_decision_driven_plot,,,
0,0,"('the_people_who_dug_for_rain', 'self_reliance')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_self_reliance,,,
0,0,"('the_people_who_dug_for_rain', 'individual_accolades')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_individual_accolades,,,
0,0,"('the_people_who_dug_for_rain', 'meritocracy_emphasis')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_meritocracy_emphasis,,,
0,0,"('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_man_vs_self_world_conflict,,,
0,0,"('the_people_who_dug_for_rain', 'solo_confrontations')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_solo_confrontations,,,
0,0,"('the_people_who_dug_for_rain', 'inner_journey')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_inner_journey,,,
0,0,"('the_people_who_dug_for_rain', 'self_actualization_climax')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_self_actualization_climax,,,
0,0,"('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_personal_ethics_over_group_norms,,,
0,0,"('the_people_who_dug_for_rain', 'uniqueness_self_expression')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_uniqueness_self_expression,,,
0,0,"('the_people_who_dug_for_rain', 'self_construal')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_self_construal,,,
0,0,"('the_people_who_dug_for_rain', 'behavioral_guidance')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_behavioral_guidance,,,
0,0,"('the_people_who_dug_for_rain', 'relationship_orientation')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_relationship_orientation,,,
0,0,"('the_people_who_dug_for_rain', 'primary_conflict')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_primary_conflict,,,
0,0,"('the_people_who_dug_for_rain', 'resolution_style')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_resolution_style,,,
0,0,"('the_people_who_dug_for_rain', 'moral_emphasis')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_moral_emphasis,,,
0,0,"('the_people_who_dug_for_rain', 'relationship_framing')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_relationship_framing,,,
0,0,"('the_people_who_dug_for_rain', 'vertical_individualism')",individualistic_feature,"[0.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_vertical_individualism,,,
1,1,"('the_people_who_dug_for_rain', 'protagonist_centered_focus')",individualistic_feature,"[0.75,0.75]","[0.75,0.75]",fact_the_people_who_dug_for_rain_protagonist_centered_focus,,,
1,1,"('the_people_who_dug_for_rain', 'internal_goals')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_internal_goals,,,
1,1,"('the_people_who_dug_for_rain', 'decision_driven_plot')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_decision_driven_plot,,,
1,1,"('the_people_who_dug_for_rain', 'self_reliance')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_self_reliance,,,
1,1,"('the_people_who_dug_for_rain', 'individual_accolades')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_individual_accolades,,,
1,1,"('the_people_who_dug_for_rain', 'meritocracy_emphasis')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_meritocracy_emphasis,,,
1,1,"('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_man_vs_self_world_conflict,,,
1,1,"('the_people_who_dug_for_rain', 'solo_confrontations')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_solo_confrontations,,,
1,1,"('the_people_who_dug_for_rain', 'inner_journey')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_inner_journey,,,
1,1,"('the_people_who_dug_for_rain', 'self_actualization_climax')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_self_actualization_climax,,,
1,1,"('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_personal_ethics_over_group_norms,,,
1,1,"('the_people_who_dug_for_rain', 'uniqueness_self_expression')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_uniqueness_self_expression,,,
1,1,"('the_people_who_dug_for_rain', 'self_construal')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_self_construal,,,
1,1,"('the_people_who_dug_for_rain', 'behavioral_guidance')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_behavioral_guidance,,,
1,1,"('the_people_who_dug_for_rain', 'relationship_orientation')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_relationship_orientation,,,
1,1,"('the_people_who_dug_for_rain', 'primary_conflict')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_primary_conflict,,,
1,1,"('the_people_who_dug_for_rain', 'resolution_style')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_resolution_style,,,
1,1,"('the_people_who_dug_for_rain', 'moral_emphasis')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_moral_emphasis,,,
1,1,"('the_people_who_dug_for_rain', 'relationship_framing')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_relationship_framing,,,
1,1,"('the_people_who_dug_for_rain', 'vertical_individualism')",individualistic_feature,"[1.0,1.0]","[1.0,1.0]",fact_the_people_who_dug_for_rain_vertical_individualism,,,
1,1,"('the_people_who_dug_for_rain', 'behavioral_guidance')",corpus,"[0.0,1.0]","[0.46,0.46]",rule_4,"[('the_people_who_dug_for_rain', 'behavioral_guidance')]",['the_people_who_dug_for_rain'],['behavioral_guidance']
1,1,"('the_people_who_dug_for_rain', 'decision_driven_plot')",corpus,"[0.0,1.0]","[0.61,0.61]",rule_9,"[('the_people_who_dug_for_rain', 'decision_driven_plot')]",['the_people_who_dug_for_rain'],['decision_driven_plot']
1,1,"('the_people_who_dug_for_rain', 'individual_accolades')",corpus,"[0.0,1.0]","[0.87,0.87]",rule_14,"[('the_people_who_dug_for_rain', 'individual_accolades')]",['the_people_who_dug_for_rain'],['individual_accolades']
1,1,"('the_people_who_dug_for_rain', 'inner_journey')",corpus,"[0.0,1.0]","[0.28,0.28]",rule_19,"[('the_people_who_dug_for_rain', 'inner_journey')]",['the_people_who_dug_for_rain'],['inner_journey']
1,1,"('the_people_who_dug_for_rain', 'internal_goals')",corpus,"[0.0,1.0]","[0.34,0.34]",rule_24,"[('the_people_who_dug_for_rain', 'internal_goals')]",['the_people_who_dug_for_rain'],['internal_goals']
1,1,"('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')",corpus,"[0.0,1.0]","[0.36,0.36]",rule_29,"[('the_people_who_dug_for_rain', 'man_vs_self_world_conflict')]",['the_people_who_dug_for_rain'],['man_vs_self_world_conflict']
1,1,"('the_people_who_dug_for_rain', 'meritocracy_emphasis')",corpus,"[0.0,1.0]","[0.56,0.56]",rule_34,"[('the_people_who_dug_for_rain', 'meritocracy_emphasis')]",['the_people_who_dug_for_rain'],['meritocracy_emphasis']
1,1,"('the_people_who_dug_for_rain', 'moral_emphasis')",corpus,"[0.0,1.0]","[0.46,0.46]",rule_39,"[('the_people_who_dug_for_rain', 'moral_emphasis')]",['the_people_who_dug_for_rain'],['moral_emphasis']
1,1,"('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')",corpus,"[0.0,1.0]","[0.62,0.62]",rule_44,"[('the_people_who_dug_for_rain', 'personal_ethics_over_group_norms')]",['the_people_who_dug_for_rain'],['personal_ethics_over_group_norms']
1,1,"('the_people_who_dug_for_rain', 'primary_conflict')",corpus,"[0.0,1.0]","[0.38,0.38]",rule_49,"[('the_people_who_dug_for_rain', 'primary_conflict')]",['the_people_who_dug_for_rain'],['primary_conflict']
1,1,"('the_people_who_dug_for_rain', 'protagonist_centered_focus')",corpus,"[0.0,1.0]","[0.46,0.46]",rule_53,"[('the_people_who_dug_for_rain', 'protagonist_centered_focus')]",['the_people_who_dug_for_rain'],['protagonist_centered_focus']
1,1,"('the_people_who_dug_for_rain', 'relationship_framing')",corpus,"[0.0,1.0]","[0.09,0.09]",rule_59,"[('the_people_who_dug_for_rain', 'relationship_framing')]",['the_people_who_dug_for_rain'],['relationship_framing']
